Work Item Type,Title,Priority,Test Steps
Test Case,Register a new user with valid username password name and email,1,"1. Open MyBasket Lite in the browser | 2. Navigate to the Register page (/register) | 3. Fill in the Full Name field with a valid name | 4. Fill in the Email field with a unique email address | 5. Fill in the Password field with a strong password | 6. Fill in the Confirm Password field with the same password | 7. Click the Register button | 8. Verify registration succeeds and user is redirected without any error message"
Test Case,Verify registered user receives a JWT token in the response,1,"1. Open the Login page (/login) | 2. Enter the registered Email and Password | 3. Click the Sign In button | 4. Verify login succeeds and the account button in the top-right navigation shows your username | 5. Navigate to My Orders and verify the page loads without redirecting to the login page (confirms an active session token was issued)"
Test Case,Verify registered user profile is returned without the password field,1,"1. Log in with valid credentials on the Login page (/login) | 2. Click the account button in the top-right navigation bar | 3. Verify the Account Settings page opens at /account | 4. Verify the Full Name field displays the name used during registration | 5. Verify the Email field displays the email used during registration | 6. Verify the New Password field is empty and no password value is pre-filled or visible"
Test Case,Login with valid username and password,1,"1. Open the Login page (/login) | 2. Fill in the Email field with a registered email address | 3. Fill in the Password field with the correct password | 4. Click the Sign In button | 5. Verify the user is redirected to the home page | 6. Verify the account button in the top-right navigation bar shows the logged-in user name"
Test Case,Verify successful login returns a valid JWT token,1,"1. Open the Login page (/login) and sign in with valid credentials | 2. Verify the account button in the top-right shows your username after login | 3. Click My Orders in the navigation and verify the page loads without redirecting to login | 4. Click the account button to open Account Settings | 5. Verify the Account Settings page loads confirming the session token is valid and active"
Test Case,Verify login response includes the user public profile,1,"1. Open the Login page (/login) | 2. Enter a valid Email and Password and click Sign In | 3. After login click the account button in the top-right navigation bar | 4. Verify the Account Settings page opens showing the correct Full Name | 5. Verify the Email field displays the correct email address used during login"
Test Case,Verify a valid JWT token using the verify endpoint,1,"1. Log in with valid credentials on the Login page (/login) | 2. Click the account button in the top-right to open Account Settings | 3. Verify the profile info block shows: Signed in as [your email] | 4. Refresh the browser page | 5. Verify Account Settings still loads after refresh and user is not redirected to the login page | 6. Verify the Full Name and Email fields still display the correct values after page refresh"
Test Case,Verify the correct user profile is returned for a valid token,1,"1. Log in with a specific account (e.g. awesome@example.com) | 2. Click the account button in the top-right navigation bar | 3. Verify the Account Settings page opens | 4. Verify the profile info line shows: Signed in as awesome@example.com | 5. Verify the Full Name field shows the name registered for this account | 6. Verify the Email field shows awesome@example.com"
Test Case,Retrieve user profile by a valid user ID,2,"1. Log in with valid credentials on the Login page (/login) | 2. Click the account button in the top-right navigation bar | 3. Verify the Account Settings page opens at /account | 4. Verify the page heading reads Account Settings | 5. Verify the Full Name field is populated with the user name | 6. Verify the Email field is populated with the user email address"
Test Case,Verify returned profile contains id username name email createdAt and updatedAt,2,"1. Log in with valid credentials and click the account button in the top-right | 2. Verify Account Settings shows the Full Name and Email fields populated | 3. Verify the profile info line shows: Signed in as [email] - Member since [date] (confirms createdAt is stored) | 4. Update the Full Name field with a new name and click Save Changes | 5. Verify a success message appears confirming the update was saved (confirms updatedAt is tracked)"
Test Case,Update Account user name with a valid authenticated request,2,"1. Log in with valid credentials and click the account button in the top-right navigation bar | 2. Verify the Account Settings page opens | 3. Clear the Full Name field and type a new valid name (e.g. Updated Name) | 4. Leave the New Password and Confirm New Password fields empty | 5. Click the Save Changes button | 6. Verify a success message appears confirming the name was updated"
Test Case,Update Account user email with a valid authenticated request,2,"1. Log in with valid credentials and click the account button in the top-right navigation bar | 2. Verify the Account Settings page opens | 3. Clear the Email field and type a new valid email address | 4. Leave the New Password and Confirm New Password fields empty | 5. Click the Save Changes button | 6. Verify a success message appears confirming the email was updated"
Test Case,Update Account user password with a valid authenticated request,2,"1. Log in with valid credentials and click the account button in the top-right navigation bar | 2. Verify the Account Settings page opens | 3. Note the text: Leave password fields empty to keep your current password | 4. Click the New Password field (placeholder: New password optional) and type a new password | 5. Click the Confirm New Password field (placeholder: Confirm new password) and type the same password | 6. Click the Save Changes button | 7. Verify a success message appears | 8. Log out then log back in using the new password to confirm it works"
Test Case,Verify updated fields are reflected when fetching the profile after update,2,"1. Log in and click the account button to open Account Settings | 2. Clear the Full Name field and type a new unique name (e.g. Verified User) | 3. Click the Save Changes button and verify the success message appears | 4. Click Products in the top navigation bar to leave Account Settings | 5. Click the account button again to reopen Account Settings | 6. Verify the Full Name field now shows the updated name | 7. Verify the Email field still shows the original email address unchanged"
Test Case,Register then Login then Verify Token then Get Profile then Update Profile,1,"1. Navigate to the Register page (/register) and fill in Full Name + Email + Password + Confirm Password with new unique values then click Register | 2. Navigate to the Login page (/login) and enter the registered email and password then click Sign In | 3. Verify login succeeds and the account button in the top-right navigation shows your username | 4. Click the account button to open Account Settings and verify the profile info shows: Signed in as [your email] | 5. Verify the Full Name and Email fields match the values entered during registration | 6. Update the Full Name field with a new name and click Save Changes | 7. Click Products in the navigation then click the account button again | 8. Verify the Full Name shows the updated name confirming the complete end-to-end flow works"
